,평균 버스 이용량 (명),1~2인가구,3인 가구 이상,30~59세 인구,비만도 분포,가구,수요,인프라,경제,value,매장명,target
0,-1.149063136,-0.335297864,-0.969002376,-0.420010981,0.670746422,0.815754356,-0.411074314,0.246933969,-0.834784281,1.889423077,집밥뚝딱 먹골역점,1
1,-1.078695,-0.737575453,-1.025622377,-0.111182916,-0.750018311,-0.453467967,-0.882510431,-1.275187225,-0.228234637,1.995192308,집밥뚝딱 약수점,1
2,-0.66038527,-0.830882728,-0.944965583,0.610444342,-0.450909946,0.007144961,0.76887586,-0.637491215,-0.850910156,1.606060606,집밥뚝딱 신길뉴타운점,0
3,0.050032975,0.019152411,0.156987842,0.769359563,-0.151801581,-0.156514583,-0.538706395,-0.329316351,-0.160621972,1.695652174,집밥뚝딱 롯데캐슬 파크엘점,0
4,0.232782486,1.477151929,-0.206234809,-0.755761651,-0.750018311,2.905858527,0.845635618,1.331740969,2.618061475,1.52,집밥뚝딱 헬리오시티점,0
5,-0.542720518,-0.72554527,0.943258051,1.008112777,1.156797514,-1.885269525,-0.953207214,-0.746196048,0.481065964,1.517241379,집밥뚝딱 미아뉴타운,0
6,7.04E-10,0.407639302,1.172408812,-1.118603985,-0.450909946,-0.486944508,0.689393076,-1.191012166,-1.088401349,1.855769231,집밥뚝딱 구로 천왕역점,1
7,-0.684287365,-0.27456011,-0.870184449,-1.262008066,-0.376132855,0.139113411,-0.215900778,-0.899558251,-1.034217062,2.019230769,집밥뚝딱 동덕여대점,1
8,0.038197286,0.826054941,-0.750534634,-0.584758729,0.670746422,1.473797805,0.116562877,0.760717112,-0.684926767,1.541401274,집밥뚝딱 중화2동점,0
9,-0.385395822,-0.535703111,-0.525657081,-0.047785887,1.642848607,1.313037223,-0.71094312,-1.454187223,-1.089572392,2.024038462,집밥뚝딱 쌍문점,1
10,-0.583026463,-0.796846112,0.281445015,-0.606482778,-0.787406856,-0.682412234,-0.63847206,-0.803953234,0.011857885,1.507462687,집밥뚝딱 명일점,0
11,-0.883394583,-0.4740851,-0.349387266,-1.179042486,-1.086515221,-0.104864562,-0.803677806,-0.626425701,-0.119156684,1.677419355,집밥뚝딱 금호역점,0
12,-1.07657242,-0.825014346,-0.867513694,-1.054657514,-1.273457949,0.176506931,-0.849580184,0.865153352,0.208723386,1.644067797,집밥뚝딱 마포프레스티지자이점,0
